playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,root_x_from_env_origin,root_y_from_env_origin
13,0.13,13,0.05178282409906387,0,0.030333945527672768,0.05557400733232498,0.19339686632156372,0.450041264295578,0.03130878135561943,0.055694710463285446,0.17969371378421783,1.2996346950531006,0.14601144194602966,0.29217904806137085,0.005248500034213066,-0.0024566650390625
14,0.14,14,0.051768455654382706,0,0.03168009594082832,0.0595376156270504,0.18886177241802216,0.41529542207717896,0.032484859228134155,0.05753059312701225,0.18593522906303406,1.1995084285736084,0.13725462555885315,0.284640371799469,0.006610957905650139,-0.002384185791015625
15,0.15,15,0.051741328090429306,0,0.032986532896757126,0.06316632032394409,0.18337981402873993,0.3782097101211548,0.033590301871299744,0.05889222025871277,0.19110538065433502,1.1027714014053345,0.1311337947845459,0.2931410074234009,0.007975732907652855,-0.002239227294921875
16,0.16,16,0.05170508846640587,0,0.03426068648695946,0.06640028953552246,0.17718885838985443,0.339368999004364,0.03462605178356171,0.059847719967365265,0.19524583220481873,1.0131117105484009,0.12805411219596863,0.3093710243701935,0.009323044680058956,-0.002044677734375
17,0.17,17,0.051659662276506424,0,0.03550653159618378,0.06930796056985855,0.17109647393226624,0.3050054907798767,0.035601142793893814,0.06042560562491417,0.19839246571063995,0.9381067752838135,0.12694446742534637,0.3241952657699585,0.01064223051071167,-0.00179290771484375
18,0.18,18,0.051612816751003265,0,0.03672563657164574,0.07186202704906464,0.16499637067317963,0.26609548926353455,0.036519113928079605,0.06074647232890129,0.20064298808574677,0.8837164044380188,0.12642507255077362,0.33591946959495544,0.011926872655749321,-0.001483917236328125
19,0.19,19,0.05156414583325386,0,0.03792022913694382,0.07402481138706207,0.15959492325782776,0.2302987277507782,0.03737598657608032,0.060860421508550644,0.20207294821739197,0.84644615650177,0.126552551984787,0.34442195296287537,0.013175876811146736,-0.00112152099609375
20,0.2,20,0.05151771381497383,0,0.039093054831027985,0.07586952298879623,0.15483388304710388,0.1958380490541458,0.03818050026893616,0.060860440135002136,0.2027943730354309,0.8276413083076477,0.12707334756851196,0.3495264947414398,0.014392159879207611,-0.000705718994140625
21,0.21,21,0.0514758937060833,0,0.04024752229452133,0.07736083120107651,0.15099316835403442,0.16104142367839813,0.03893067687749863,0.060818158090114594,0.2029232680797577,0.8205742835998535,0.12786833941936493,0.3510829210281372,0.015580969862639904,-0.000247955322265625
22,0.22,22,0.05143922194838524,0,0.0413878858089447,0.0785149335861206,0.14808011054992676,0.13068020343780518,0.039633072912693024,0.060811519622802734,0.20258842408657074,0.8191730976104736,0.12900975346565247,0.34951531887054443,0.016748905181884766,0.000244140625
